sample_name,genotype,glucose,batch,paired
HVO_DS2_reference,ref,ypc18,RH_S1_2021,PE
deltadelta_a_glu_S16,DD,pGlu,RH_S1_2021,PE
deltadelta_a_noglu_S35,DD,mGlu,RH_S1_2021,PE
deltadelta_b_glu_S53,DD,pGlu,RH_S1_2021,PE
deltadelta_b_noglu_S36,DD,mGlu,RH_S1_2021,PE
deltadelta_c_glu_S43,DD,pGlu,RH_S1_2021,PE
deltadelta_d_glu_S44,DD,pGlu,RH_S1_2021,PE
deltadelta_d_noglu_S5,DD,mGlu,RH_S1_2021,PE
tbsP_a_glu_S33,tbsP,pGlu,RH_S1_2021,PE
tbsP_a_noglu_S24,tbsP,mGlu,RH_SP_2021,PE
tbsP_b_glu_S2,tbsP,pGlu,RH_S1_2021,PE
tbsP_b_noglu_S30,tbsP,mGlu,RH_S1_2021,PE
tbsP_c_glu_S51,tbsP,pGlu,RH_S1_2021,PE
tbsP_c_noglu_S15,tbsP,mGlu,RH_S1_2021,PE
tbsP_d_glu_S52,tbsP,pGlu,RH_S1_2021,PE
tbsP_d_noglu_S31,tbsP,mGlu,RH_S1_2021,PE
trmB_a_glu_S4,trmB,pGlu,RH_S1_2021,PE
tbsP_e_noglu_S50,tbsP,mGlu,RH_S1_2021,PE
tbsP_e_glu_S3,tbsP,pGlu,RH_S1_2021,PE
trmB_a_noglu_S32,trmB,mGlu,RH_S1_2021,PE
trmB_b_noglu_S25,trmB,mGlu,RH_SP_2021,PE
trmB_c_glu_S34,trmB,pGlu,RH_S1_2021,PE
trmB_c_noglu_S1,trmB,mGlu,RH_S1_2021,PE
WT_a_glu_S39,WT,pGlu,RH_S1_2021,PE
WT_a_noglu_S37,WT,mGlu,RH_S1_2021,PE
WT_b_glu_S13,WT,pGlu,RH_SP_2021,PE
WT_b_noglu_S17,WT,mGlu,RH_S1_2021,PE
WT_c_glu_S18,WT,pGlu,RH_S1_2021,PE
WT_c_noglu_S6,WT,mGlu,RH_S1_2021,PE
WT_d_glu_S19,WT,pGlu,RH_S1_2021,PE
WT_d_noglu_s38,WT,mGlu,RH_S1_2021,PE
dpyrE2_4hmfe_2_S5,WT,mGlu,MMP_2019,SE
dpyrE2_4hmfe_4_S9,WT,mGlu,MMP_2019,SE
dpyrE2_4hmfe_5_S18,WT,mGlu,MMP_2019,SE
dpyrE2_4hpfe_2_S2,WT,pGlu,MMP_2019,SE
dpyrE2_4hpfe_4_S16,WT,pGlu,MMP_2019,SE
dpyrE2_4hpfe_5_S12,WT,pGlu,MMP_2019,SE
dtbsP_4hpfe_2_S38,tbsP,pGlu,MMP_2019,SE
dtbsP_4hpfe_5_S43,tbsP,pGlu,MMP_2019,SE
dtbsP_4hpfe_6_S49,tbsP,pGlu,MMP_2019,SE
dtrmB_4hmfe_1_S24,trmB,mGlu,MMP_2019,SE
dtrmB_4hmfe_5_S30,trmB,mGlu,MMP_2019,SE
dtrmB_4hmfe_6_S36,trmB,mGlu,MMP_2019,SE
dtrmB_4hpfe_1_S21,trmB,pGlu,MMP_2019,SE
dtrmB_4hpfe_5_S27,trmB,pGlu,MMP_2019,SE
dtrmB_4hpfe_6_S33,trmB,pGlu,MMP_2019,SE
dtrmBdtbsP_4hmfe_5_S66,DD,mGlu,MMP_2019,SE
dtrmBdtbsP_4hmfe_6_S72,DD,mGlu,MMP_2019,SE
HV35_ypc18_S15,ref,ypc18,MMP_2019,SE
