H26_1_glc_IP_S43_S49_sorted.bam,H26_1_glc_WCE_S46_S52_sorted.bam,HVO_WT_glc_1
H26_2_glc_IP_S85_S91_sorted.bam,H26_2_glc_WCE_S64_S70_sorted.bam,HVO_WT_glc_2
H26_1_IP_S62_S68_sorted.bam,H26_1_WCE_S68_S74_sorted.bam,HVO_WT_1
H26_2_IP_S52_S58_sorted.bam,H26_2_WCE_S53_S59_sorted.bam,HVO_WT_2
tbsPHA_1_glc_IP_S79_S85_sorted.bam,tbsPHA_1_glc_WCE_S48_S54_sorted.bam,HVO_tbsPHA_glc_1
tbsPHA_2_glc_IP_S45_S51_sorted.bam,tbsPHA_2_glc_WCE_S54_S60_sorted.bam,HVO_tbsPHA_glc_2
tbsPHA_3_glc_IP_S72_S78_sorted.bam,tbsPHA_3_glc_WCE_S66_S72_sorted.bam,HVO_tbsPHA_glc_3
tbsPHA_4_glc_IP_S78_S84_sorted.bam,tbsPHA_4_glc_WCE_S71_S77_sorted.bam,HVO_tbsPHA_glc_4
tbsPHA_1_IP_S41_S47_sorted.bam,tbsPHA_1_WCE_S47_S53_sorted.bam,HVO_tbsPHA_1
tbsPHA_2_IP_S88_S94_sorted.bam,tbsPHA_2_WCE_S56_S62_sorted.bam,HVO_tbsPHA_2
tbsPHA_3_IP_S67_S73_sorted.bam,tbsPHA_3_WCE_S55_S61_sorted.bam,HVO_tbsPHA_3
tbsPHA_4_IP_S94_S100_sorted.bam,tbsPHA_4_WCE_S76_S82_sorted.bam,HVO_tbsPHA_4
